node,host,http_port,shutdown_port,jvm_route,center,cpu,ram_gb,heap_gb
was1,10.10.10.11,8080,8005,was1,CENTER-A,8,32,12
was2,10.10.10.12,8080,8005,was2,CENTER-A,8,32,12
